Flight#|Departure Date/Time|Orig City|Orig State|Orig Country|Dest City|Dest state|Dest Country
F00113|03-28-17 18:00|Chicago - O'Hare|IL|US|Hartsfield Jackson|GA|US
F00114|03-09-17 12:00|Philadelphia - International|PA|US|New York - All Airports|NY|US
F00115|03-26-17 07:00|New York - All Airports|NY|US|Chicago - Meigs|IL|US
F00116|03-27-17 01:00|Chicago - O'Hare|IL|US|Charlotte|NC|US
F00117|03-12-17 06:00|Washington - Dulles|DC|US|Orlando - International|FL|US
F00118|03-08-17 06:00|Seattle - Lake Union|WA|US|Orlando - Herndon|FL|US
F00119|03-29-17 08:00|Hartsfield Jackson|GA|US|Chicago - Midway|IL|US
F00120|04-03-17 11:00|Boston|MA|US|Boston|MA|US
F00121|03-03-17 16:00|Dallas/Forth Worth|TX|US|Huston - All airports|TX|US
F00122|03-01-17 03:00|Orlando - International|FL|US|Philadelphia - International|PA|US
F00123|04-15-17 22:00|Charlotte|NC|US|Boston|MA|US
F00124|03-19-17 06:00|Miami - International|FL|US|Chicago - O'Hare|IL|US
F00125|03-04-17 09:00|Charlotte|NC|US|Seattle - Tacoma International|WA|US
F00126|04-26-17 06:00|Tampa|FL|US|Miami - Sea Plane Base|FL|US
F00127|03-22-17 16:00|Austin|TX|US|New York - La Guardia|NY|US
F00128|03-02-17 11:00|Austin|TX|US|San Francisco|CA|US
F00129|04-01-17 23:00|Charlotte|NC|US|Huston - All airports|TX|US
F00130|04-12-17 08:00|Chicago - Midway|IL|US|Huston - Intercontinental|TX|US
F00131|04-07-17 12:00|Washington - National|DC|US|Seattle - Tacoma International|WA|US
F00132|03-07-17 19:00|Tampa|FL|US|Seattle - Lake Union|WA|US
F00133|03-07-17 06:00|New York - All Airports|NY|US|Los Angeles|CA|US
F00134|03-27-17 20:00|Tampa|FL|US|San Francisco|CA|US
F00135|04-18-17 06:00|Phoenix|AZ|US|San Francisco|CA|US
F00136|03-27-17 18:00|Hartsfield Jackson|GA|US|Boston|MA|US
F00137|03-12-17 21:00|Philadelphia - International|PA|US|Washington - Dulles|DC|US
F00138|04-24-17 15:00|Hartsfield Jackson|GA|US|Austin|TX|US
F00139|03-26-17 07:00|Orlando - International|FL|US|New York - La Guardia|NY|US
F00140|03-02-17 17:00|Philadelphia - Trenton/Mercer NJ|PA|US|Phoenix|AZ|US
F00141|04-04-17 18:00|Austin|TX|US|Huston - Intercontinental|TX|US
F00142|04-18-17 18:00|Charlotte|NC|US|Charlotte|NC|US
F00143|04-16-17 22:00|Orlando - International|FL|US|Orlando - Herndon|FL|US
F00144|03-25-17 04:00|Orlando - Herndon|FL|US|New York - Kenedy|NY|US
F00145|03-05-17 06:00|Washington - National|DC|US|New York - Kenedy|NY|US
F00146|04-04-17 05:00|Miami - Sea Plane Base|FL|US|Orlando - International|FL|US
F00147|03-23-17 10:00|Phoenix|AZ|US|Orlando - International|FL|US
F00148|03-07-17 16:00|Charlotte|NC|US|Orlando - Herndon|FL|US
F00149|03-26-17 21:00|Chicago - Meigs|IL|US|Chicago - Meigs|IL|US
F00150|04-21-17 10:00|Hartsfield Jackson|GA|US|Hartsfield Jackson|GA|US
F00151|03-24-17 17:00|Charlotte|NC|US|Los Angeles|CA|US
F00152|04-02-17 20:00|Dallas/Forth Worth|TX|US|Phoenix|AZ|US
F00153|04-06-17 07:00|Philadelphia - International|PA|US|Miami - Sea Plane Base|FL|US
F00154|03-23-17 15:00|Philadelphia - Trenton/Mercer NJ|PA|US|Seattle - Lake Union|WA|US
F00155|03-02-17 15:00|Chicago - Meigs|IL|US|Orlando - Herndon|FL|US
F00156|04-01-17 18:00|Hartsfield Jackson|GA|US|Miami - Sea Plane Base|FL|US
F00157|03-17-17 23:00|New York - Kenedy|NY|US|Miami - International|FL|US
F00158|04-17-17 00:00|New York - All Airports|NY|US|New York - All Airports|NY|US
F00159|03-16-17 18:00|Seattle - Tacoma International|WA|US|Tampa|FL|US
F00160|03-18-17 18:00|Tampa|FL|US|Tampa|FL|US
F00161|04-15-17 20:00|Boston|MA|US|Chicago - All Aiports|IL|US
F00162|04-24-17 07:00|New York - La Guardia|NY|US|Hartsfield Jackson|GA|US
F00163|03-19-17 20:00|Washington - All airports|DC|US|Miami - Sea Plane Base|FL|US
F00164|04-27-17 10:00|Phoenix|AZ|US|Dallas/Forth Worth|TX|US
F00165|04-06-17 12:00|San Francisco|CA|US|Phoenix|AZ|US
F00166|03-18-17 17:00|Washington - National|DC|US|Miami - International|FL|US
F00167|04-10-17 14:00|Los Angeles|CA|US|Orlando - Herndon|FL|US
F00168|03-05-17 07:00|Miami - International|FL|US|Philadelphia - Trenton/Mercer NJ|PA|US
F00169|03-28-17 06:00|Chicago - O'Hare|IL|US|Chicago - O'Hare|IL|US
F00170|04-10-17 00:00|Tampa|FL|US|Boston|MA|US
F00171|04-22-17 17:00|Chicago - Meigs|IL|US|Chicago - Midway|IL|US
F00172|04-12-17 06:00|New York - Kenedy|NY|US|Washington - National|DC|US
F00173|04-12-17 09:00|Los Angeles|CA|US|Chicago - All Aiports|IL|US
F00174|04-26-17 17:00|Philadelphia - Trenton/Mercer NJ|PA|US|New York - All Airports|NY|US
F00175|04-21-17 12:00|Chicago - Meigs|IL|US|Huston - All airports|TX|US
F00176|03-16-17 01:00|San Francisco|CA|US|Chicago - Midway|IL|US
F00177|03-29-17 02:00|Dallas/Forth Worth|TX|US|Washington - All airports|DC|US
F00178|04-01-17 13:00|Hartsfield Jackson|GA|US|Orlando - Herndon|FL|US
F00013|04-21-17 02:00|Seattle - Lake Union|WA|US|San Francisco|CA|US
F00180|03-20-17 03:00|Chicago - Meigs|IL|US|Seattle - Lake Union|WA|US
F00181|03-15-17 03:00|Miami - International|FL|US|Huston - Intercontinental|TX|US
F00182|04-17-17 21:00|Washington - All airports|DC|US|Washington - All airports|DC|US
F00183|04-26-17 06:00|Chicago - O'Hare|IL|US|Miami - Sea Plane Base|FL|US
F00184|03-12-17 05:00|Chicago - All Aiports|IL|US|Chicago - Midway|IL|US
F00185|03-23-17 21:00|Washington - Dulles|DC|US|Washington - Dulles|DC|US
F00186|03-12-17 05:00|Seattle - Lake Union|WA|US|Orlando - Herndon|FL|US
F00187|03-02-17 21:00|Chicago - Meigs|IL|US|Charlotte|NC|US
F00188|04-12-17 02:00|Washington - Dulles|DC|US|Orlando - International|FL|US
F00189|03-23-17 21:00|Chicago - Meigs|IL|US|New York - All Airports|NY|US
F00190|04-13-17 20:00|Chicago - Midway|IL|US|Tampa|FL|US
F00191|04-01-17 01:00|Seattle - Lake Union|WA|US|Boston|MA|US
F00192|04-28-17 21:00|New York - La Guardia|NY|US|Orlando - Herndon|FL|US
F00193|03-05-17 05:00|Philadelphia - Trenton/Mercer NJ|PA|US|Chicago - All Aiports|IL|US
F00194|04-12-17 15:00|Orlando - Herndon|FL|US|Orlando - Herndon|FL|US
F00195|04-15-17 16:00|Phoenix|AZ|US|New York - All Airports|NY|US
F00196|04-29-17 20:00|Orlando - Herndon|FL|US|Orlando - Herndon|FL|US
F00197|04-27-17 11:00|Chicago - O'Hare|IL|US|Chicago - Midway|IL|US
F00198|04-27-17 17:00|Los Angeles|CA|US|Philadelphia - Trenton/Mercer NJ|PA|US
F00199|04-26-17 07:00|Washington - Dulles|DC|US|Miami - Sea Plane Base|FL|US
F00200|04-22-17 07:00|Washington - Dulles|DC|US|Hartsfield Jackson|GA|US
