Flight#|Departure Date/Time|Origin|Destination
F00173|04-12-17 09:00|LAX|CHI
F00174|04-26-17 17:00|TTN|NYC
F00175|04-21-17 12:00|CGX|HOU
F00176|03-16-17 01:00|SFO|MDW
F00177|03-29-17 02:00|DFW|WAS
F00178|04-01-17 13:00|ATL|ORL
F00013|04-21-17 02:00|LKE|SFO
F00180|03-20-17 03:00|CGX|LKE
F00181|03-15-17 03:00|MIA|IAH
F00182|04-17-17 21:00|WAS|WAS
F00183|04-26-17 06:00|ORD|MPB
F00184|03-12-17 05:00|CHI|MDW
F00185|03-23-17 21:00|IAD|IAD
F00186|03-12-17 05:00|LKE|ORL
F00187|03-02-17 21:00|CGX|CLT
F00188|04-12-17 02:00|IAD|MCO
F00189|03-23-17 21:00|CGX|NYC
F00190|04-13-17 20:00|MDW|TPA
F00191|04-01-17 01:00|LKE|BOS
F00192|04-28-17 21:00|LGA|ORL
F00193|03-05-17 05:00|TTN|CHI
F00194|04-12-17 15:00|ORL|ORL
F00195|04-15-17 16:00|PHX|NYC
F00196|04-29-17 20:00|ORL|ORL
F00197|04-27-17 11:00|ORD|MDW
F00198|04-27-17 17:00|LAX|TTN
F00199|04-26-17 07:00|IAD|MPB
F00200|04-22-17 07:00|IAD|ATL
